"","Country.Code","Country.Name","Region","Year","Fertility.Rate","LifeExpectancy2013"
"1","ABW","Aruba","The Americas",2013,1.669,75.3286585365854
"2","AFG","Afghanistan","Asia",2013,5.05,60.0282682926829
"3","AGO","Angola","Africa",2013,6.165,51.8661707317073
"4","ALB","Albania","Europe",2013,1.771,77.537243902439
"5","ARE","United Arab Emirates","Middle East",2013,1.801,77.1956341463415
"6","ARG","Argentina","The Americas",2013,2.335,75.9860975609756
"7","ARM","Armenia","Asia",2013,1.553,74.5613658536585
"8","ATG","Antigua and Barbuda","The Americas",2013,2.088,75.7786585365854
"9","AUS","Australia","Oceania",2013,1.921,82.1975609756098
"10","AUT","Austria","Europe",2013,1.44,80.890243902439
"11","AZE","Azerbaijan","Asia",2013,2,70.6931463414634
"12","BDI","Burundi","Africa",2013,6.035,56.2516097560976
"13","BEL","Belgium","Europe",2013,1.79,80.3853658536585
"14","BEN","Benin","Africa",2013,4.846,59.3120243902439
"15","BFA","Burkina Faso","Africa",2013,5.607,58.2406341463415
"16","BGD","Bangladesh","Asia",2013,2.209,71.245243902439
"17","BGR","Bulgaria","Europe",2013,1.5,74.4658536585366
"18","BHR","Bahrain","Middle East",2013,2.075,76.5459512195122
"19","BHS","Bahamas, The","The Americas",2013,1.883,75.0735365853659
"20","BIH","Bosnia and Herzegovina","Europe",2013,1.272,76.2769268292683
"21","BLR","Belarus","Europe",2013,1.62,72.4707317073171
"22","BLZ","Belize","The Americas",2013,2.611,69.9820487804878
"23","BOL","Bolivia","The Americas",2013,3.017,67.9134390243903
"24","BRA","Brazil","The Americas",2013,1.801,74.1224390243903
"25","BRB","Barbados","The Americas",2013,1.791,75.3339512195122
"26","BRN","Brunei Darussalam","Asia",2013,1.893,78.5466585365854
"27","BTN","Bhutan","Asia",2013,2.082,69.1029268292683
"28","BWA","Botswana","Africa",2013,2.864,64.3608048780488
"29","CAF","Central African Republic","Africa",2013,4.368,49.8798780487805
"30","CAN","Canada","The Americas",2013,1.61,81.4011219512195
"31","CHE","Switzerland","Europe",2013,1.52,82.7487804878049
"32","CHL","Chile","The Americas",2013,1.774,81.1979268292683
"33","CHN","China","Asia",2013,1.668,75.3530243902439
"34","CIV","Cote d'Ivoire","Africa",2013,5.063,51.2084634146342
"35","CMR","Cameroon","Africa",2013,4.781,55.0418048780488
"36","COD","Congo, Dem. Rep.","Africa",2013,6.103,58.2719268292683
